disease,MEDICATION:
Indigestion,omeprazole; ranitidine; famotidine; bismuth subsalicylate; aluminum hydroxide / magnesium hydroxide / simethicone; calcium carbonate; magnesium hydroxide; omeprazole; ranitidine; famotidine; bismuth subsalicylate; aluminum hydroxide / magnesium hydroxide / simethicone; calcium carbonate; magnesium hydroxide; omeprazole; ranitidine; famotidine; bismuth subsalicylate; aluminum hydroxide / magnesium hydroxide / simethicone; calcium carbonate; magnesium hydroxide
Dystonia,baclofen; carbamazepine; onabotulinumtoxinA
Dysuria,phenazopyridine; oxybutynin; flavoxate
Traveler's Diarrhea,ciprofloxacin; loperamide; rifaximin; sulfamethoxazole / trimethoprim; bismuth subsalicylate; ofloxacin; ciprofloxacin; loperamide; rifaximin; sulfamethoxazole / trimethoprim; bismuth subsalicylate; ofloxacin; ciprofloxacin; loperamide; rifaximin; sulfamethoxazole / trimethoprim; bismuth subsalicylate; ofloxacin; ciprofloxacin; loperamide; rifaximin; sulfamethoxazole / trimethoprim; bismuth subsalicylate; ofloxacin
Otitis Media,amoxicillin; cefdinir; amoxicillin / clavulanate; azithromycin; cephalexin; ofloxacin; clarithromycin; sulfamethoxazole / trimethoprim; cefuroxime; hydrocortisone / neomycin / polymyxin b; levofloxacin; ciprofloxacin / dexamethasone; erythromycin; amoxicillin; cefdinir; amoxicillin / clavulanate; azithromycin; cephalexin; ofloxacin; clarithromycin; sulfamethoxazole / trimethoprim; cefuroxime; hydrocortisone / neomycin / polymyxin b; levofloxacin; ciprofloxacin / dexamethasone; erythromycin; amoxicillin; cefdinir; amoxicillin / clavulanate; azithromycin; cephalexin; ofloxacin; clarithromycin; sulfamethoxazole / trimethoprim; cefuroxime; hydrocortisone / neomycin / polymyxin b; levofloxacin; ciprofloxacin / dexamethasone; erythromycin; amoxicillin; cefdinir; amoxicillin / clavulanate; azithromycin; cephalexin; ofloxacin; clarithromycin; sulfamethoxazole / trimethoprim; cefuroxime; hydrocortisone / neomycin / polymyxin b; levofloxacin; ciprofloxacin / dexamethasone; erythromycin; amoxicillin; cefdinir; amoxicillin / clavulanate; azithromycin; cephalexin; ofloxacin; clarithromycin; sulfamethoxazole / trimethoprim; cefuroxime; hydrocortisone / neomycin / polymyxin b; levofloxacin; ciprofloxacin / dexamethasone; erythromycin
Otitis Externa,hydrocortisone / neomycin / polymyxin b; ciprofloxacin / dexamethasone; acetic acid; acetic acid / hydrocortisone; ceftazidime; acetic acid / aluminum acetate; colistin sulfate / hydrocortisone / neomycin / thonzonium bromide; hydrocortisone / neomycin / polymyxin b; ciprofloxacin / dexamethasone; acetic acid; acetic acid / hydrocortisone; ceftazidime; acetic acid / aluminum acetate; colistin sulfate / hydrocortisone / neomycin / thonzonium bromide; hydrocortisone / neomycin / polymyxin b; ciprofloxacin / dexamethasone; acetic acid; acetic acid / hydrocortisone; ceftazidime; acetic acid / aluminum acetate; colistin sulfate / hydrocortisone / neomycin / thonzonium bromide; hydrocortisone / neomycin / polymyxin b; ciprofloxacin / dexamethasone; acetic acid; acetic acid / hydrocortisone; ceftazidime; acetic acid / aluminum acetate; colistin sulfate / hydrocortisone / neomycin / thonzonium bromide; hydrocortisone / neomycin / polymyxin b; ciprofloxacin / dexamethasone; acetic acid; acetic acid / hydrocortisone; ceftazidime; acetic acid / aluminum acetate; colistin sulfate / hydrocortisone / neomycin / thonzonium bromide
Lambert-Eaton Myasthenic Syndrome,amifampridine; amifampridine; amifampridine; amifampridine
Ebola Zaire Disease Prophylaxis,"ebola zaire vaccine, live"
Mononucleosis,acyclovir; acyclovir; acyclovir
Echinococcus,mebendazole; praziquantel; albendazole
Emergency Contraception (Postcoital Contraception),levonorgestrel; ethinyl estradiol / levonorgestrel; ulipristal; ethinyl estradiol / norgestrel; levonorgestrel; ethinyl estradiol / levonorgestrel; ulipristal; ethinyl estradiol / norgestrel; levonorgestrel; ethinyl estradiol / levonorgestrel; ulipristal; ethinyl estradiol / norgestrel; levonorgestrel; ethinyl estradiol / levonorgestrel; ulipristal; ethinyl estradiol / norgestrel; levonorgestrel; ethinyl estradiol / levonorgestrel; ulipristal; ethinyl estradiol / norgestrel; levonorgestrel; ethinyl estradiol / levonorgestrel; ulipristal; ethinyl estradiol / norgestrel; levonorgestrel; ethinyl estradiol / levonorgestrel; ulipristal; ethinyl estradiol / norgestrel
Erectile Dysfunction,sildenafil; tadalafil; vardenafil; alprostadil; avanafil; sildenafil; tadalafil; vardenafil; alprostadil; avanafil; sildenafil; tadalafil; vardenafil; alprostadil; avanafil; sildenafil; tadalafil; vardenafil; alprostadil; avanafil; sildenafil; tadalafil; vardenafil; alprostadil; avanafil
Eosinophilic Esophagitis,fluticasone; budesonide; fluticasone; budesonide
Ehrlichiosis,doxycycline; tetracycline; doxycycline; tetracycline; doxycycline; tetracycline; doxycycline; tetracycline; doxycycline; tetracycline; doxycycline; tetracycline; doxycycline; tetracycline
Restless Legs Syndrome,ropinirole; pramipexole; gabapentin; clonazepam; tramadol; carbidopa / levodopa; pregabalin; clonidine; gabapentin enacarbil; rotigotine; lamotrigine; levodopa; ropinirole; pramipexole; gabapentin; clonazepam; tramadol; carbidopa / levodopa; pregabalin; clonidine; gabapentin enacarbil; rotigotine; lamotrigine; levodopa; ropinirole; pramipexole; gabapentin; clonazepam; tramadol; carbidopa / levodopa; pregabalin; clonidine; gabapentin enacarbil; rotigotine; lamotrigine; levodopa; ropinirole; pramipexole; gabapentin; clonazepam; tramadol; carbidopa / levodopa; pregabalin; clonidine; gabapentin enacarbil; rotigotine; lamotrigine; levodopa
Electromechanical Dissociation,epinephrine; calcium chloride
Encephalopathy,methylene blue
Endocarditis,vancomycin; ceftriaxone; ampicillin; rifampin; metronidazole; cefazolin; ceftazidime; daptomycin; gentamicin; cilastatin / imipenem; oxacillin; tobramycin; streptomycin
Endometrial Hyperplasia,megestrol
"Endometrial Hyperplasia, Prophylaxis",medroxyprogesterone; progesterone
Endometriosis,norethindrone; medroxyprogesterone; progesterone; ethinyl estradiol / levonorgestrel; danazol; leuprolide; ethinyl estradiol / norethindrone; ethinyl estradiol / norgestimate
Endometritis,ceftriaxone; gentamicin; ceftazidime; piperacillin / tazobactam; cefotaxime; cefoxitin; cilastatin / imipenem
Endoscopy or Radiology Premedication,diazepam; hyoscyamine; simethicone; iopamidol
Enterobiasis,pyrantel
Enterocolitis,chlordiazepoxide / clidinium; atropine / hyoscyamine / phenobarbital / scopolamine; doxycycline; vancomycin; albendazole
"Epicondylitis, Tennis Elbow",dexamethasone; cortisone; prednisone
"Epididymitis, Non-Specific",ceftriaxone; ofloxacin
"Epididymitis, Sexually Transmitted",doxycycline; ciprofloxacin; levofloxacin; tetracycline; ceftriaxone; ofloxacin
Epiglottitis,ceftriaxone; sulfamethoxazole / trimethoprim; cefuroxime; cefotaxime; ampicillin / sulbactam; ceftriaxone; sulfamethoxazole / trimethoprim; cefuroxime; cefotaxime; ampicillin / sulbactam
Epilepsy,levetiracetam; carbamazepine; gabapentin; lamotrigine; divalproex sodium; phenytoin; valproic acid; oxcarbazepine
Epithelioid Sarcoma,tazemetostat
Erdheim-Chester Disease,vemurafenib
Erosive Esophagitis,omeprazole; pantoprazole; ranitidine; esomeprazole; lansoprazole; famotidine; omeprazole / sodium bicarbonate; dexlansoprazole; rabeprazole; calcium carbonate
Skin Rash,hydrocortisone; prednisone; diflorasone; tetracaine; hydrocortisone; prednisone; diflorasone; tetracaine; hydrocortisone; prednisone; diflorasone; tetracaine
Erythema Mulitforme,corticotropin
Erythroblastopenia,prednisone; triamcinolone; dexamethasone; cortisone
Psoriasis,clobetasol; methotrexate; triamcinolone; fluocinonide; triamcinolone; calcipotriene; mometasone; desonide; prednisone; acitretin; cyclosporine; hydrocortisone; ustekinumab; adalimumab; betamethasone / calcipotriene; clobetasol; methotrexate; triamcinolone; fluocinonide; triamcinolone; calcipotriene; mometasone; desonide; prednisone; acitretin; cyclosporine; hydrocortisone; ustekinumab; adalimumab; betamethasone / calcipotriene; clobetasol; methotrexate; triamcinolone; fluocinonide; triamcinolone; calcipotriene; mometasone; desonide; prednisone; acitretin; cyclosporine; hydrocortisone; ustekinumab; adalimumab; betamethasone / calcipotriene; clobetasol; methotrexate; triamcinolone; fluocinonide; triamcinolone; calcipotriene; mometasone; desonide; prednisone; acitretin; cyclosporine; hydrocortisone; ustekinumab; adalimumab; betamethasone / calcipotriene; clobetasol; methotrexate; triamcinolone; fluocinonide; triamcinolone; calcipotriene; mometasone; desonide; prednisone; acitretin; cyclosporine; hydrocortisone; ustekinumab; adalimumab; betamethasone / calcipotriene; clobetasol; methotrexate; triamcinolone; fluocinonide; triamcinolone; calcipotriene; mometasone; desonide; prednisone; acitretin; cyclosporine; hydrocortisone; ustekinumab; adalimumab; betamethasone / calcipotriene
Esophageal Carcinoma,methotrexate; porfimer; trastuzumab; pembrolizumab
Esophageal Variceal Hemorrhage Prophylaxis,nadolol; atenolol
Esophageal Varices,ethanolamine oleate
Esophageal Varices with Bleeding,vasopressin
Eustachian Tube Dysfunction,cetirizine; ibuprofen; diphenhydramine; acetaminophen; cetirizine; ibuprofen; diphenhydramine; acetaminophen
Eumycetoma,voriconazole
Euvolemic Hyponatremia,tolvaptan; conivaptan; tolvaptan; conivaptan
Evan's Syndrome,cyclosporine; dexamethasone; immune globulin intravenous; danazol; rituximab; vincristine; mycophenolate mofetil
Ewing's Sarcoma,cyclophosphamide; dactinomycin; cyclophosphamide; dactinomycin
Hyperekplexia,diazepam; clonazepam; divalproex sodium; levetiracetam; valproic acid; diazepam; clonazepam; divalproex sodium; levetiracetam; valproic acid; diazepam; clonazepam; divalproex sodium; levetiracetam; valproic acid; diazepam; clonazepam; divalproex sodium; levetiracetam; valproic acid; diazepam; clonazepam; divalproex sodium; levetiracetam; valproic acid; diazepam; clonazepam; divalproex sodium; levetiracetam; valproic acid
Hyperhidrosis,oxybutynin; aluminum chloride hexahydrate; clonidine; terazosin; benztropine; gabapentin; amitriptyline; glycopyrronium; onabotulinumtoxinA; oxybutynin; aluminum chloride hexahydrate; clonidine; terazosin; benztropine; gabapentin; amitriptyline; glycopyrronium; onabotulinumtoxinA; oxybutynin; aluminum chloride hexahydrate; clonidine; terazosin; benztropine; gabapentin; amitriptyline; glycopyrronium; onabotulinumtoxinA; oxybutynin; aluminum chloride hexahydrate; clonidine; terazosin; benztropine; gabapentin; amitriptyline; glycopyrronium; onabotulinumtoxinA; oxybutynin; aluminum chloride hexahydrate; clonidine; terazosin; benztropine; gabapentin; amitriptyline; glycopyrronium; onabotulinumtoxinA
Exchange Transfusion,calcium gluconate
Expectoration (Mucolysis),acetylcysteine; dextromethorphan / guaifenesin; acetylcysteine; dextromethorphan / guaifenesin
Exposure to Hepatitis B Virus,hepatitis b immune globulin
Peritoneal Cancer,bevacizumab; niraparib; bevacizumab; niraparib; bevacizumab; niraparib; bevacizumab; niraparib; bevacizumab; niraparib; bevacizumab; niraparib; bevacizumab; niraparib
Laryngopharyngeal Reflux,omeprazole; pantoprazole; ranitidine; lansoprazole; famotidine; aluminum hydroxide / magnesium hydroxide / simethicone; cimetidine; omeprazole; pantoprazole; ranitidine; lansoprazole; famotidine; aluminum hydroxide / magnesium hydroxide / simethicone; cimetidine; omeprazole; pantoprazole; ranitidine; lansoprazole; famotidine; aluminum hydroxide / magnesium hydroxide / simethicone; cimetidine; omeprazole; pantoprazole; ranitidine; lansoprazole; famotidine; aluminum hydroxide / magnesium hydroxide / simethicone; cimetidine
Extrapyramidal Reaction,benztropine; diphenhydramine; trihexyphenidyl; amantadine
Extravasation,hyaluronidase; dexrazoxane
Factor VII Deficiency,coagulation factor viia; factor ix complex; coagulation factor viia; factor ix complex
Eye Conditions,lutein; sulfacetamide sodium; natamycin; ceftriaxone; corticotropin; lutein; sulfacetamide sodium; natamycin; ceftriaxone; corticotropin
Eye Redness,fluorometholone; naphazoline; tetrahydrozoline; phenylephrine; oxymetazoline; brimonidine; fluorometholone; naphazoline; tetrahydrozoline; phenylephrine; oxymetazoline; brimonidine
Eye Redness/Itching,fluorometholone; naphazoline / pheniramine; triprolidine; tetrahydrozoline / zinc sulfate
Eyelash Hypotrichosis,bimatoprost; fluorometholone; bimatoprost; fluorometholone
Hordeolum,bacitracin / polymyxin b; bacitracin / neomycin / polymyxin b; bacitracin / polymyxin b; bacitracin / neomycin / polymyxin b; bacitracin / polymyxin b; bacitracin / neomycin / polymyxin b
Fabry Disease,agalsidase beta; migalastat
Facial Lipoatrophy,poly-l-lactic acid; poly-l-lactic acid; poly-l-lactic acid; poly-l-lactic acid
Factor X Deficiency,coagulation factor x; coagulation factor x
Factor XIII Deficiency,factor XIII
Failure to Thrive,cyproheptadine; cyproheptadine
Familial Adenomatous Polyposis,sulindac; celecoxib
Familial Cold Autoinflammatory Syndrome,canakinumab; rilonacept; canakinumab; rilonacept
Tumor Necrosis Factor Receptor Associated Periodic Syndrome,canakinumab; canakinumab; canakinumab; canakinumab
"High Cholesterol, Familial Heterozygous",atorvastatin; pravastatin; simvastatin; ezetimibe; rosuvastatin; lovastatin; ezetimibe / simvastatin; evolocumab; alirocumab; fluvastatin; atorvastatin; pravastatin; simvastatin; ezetimibe; rosuvastatin; lovastatin; ezetimibe / simvastatin; evolocumab; alirocumab; fluvastatin; atorvastatin; pravastatin; simvastatin; ezetimibe; rosuvastatin; lovastatin; ezetimibe / simvastatin; evolocumab; alirocumab; fluvastatin; atorvastatin; pravastatin; simvastatin; ezetimibe; rosuvastatin; lovastatin; ezetimibe / simvastatin; evolocumab; alirocumab; fluvastatin; atorvastatin; pravastatin; simvastatin; ezetimibe; rosuvastatin; lovastatin; ezetimibe / simvastatin; evolocumab; alirocumab; fluvastatin
"High Cholesterol, Familial Homozygous",atorvastatin; simvastatin; rosuvastatin; ezetimibe / simvastatin; lomitapide; evolocumab; atorvastatin; simvastatin; rosuvastatin; ezetimibe / simvastatin; lomitapide; evolocumab; atorvastatin; simvastatin; rosuvastatin; ezetimibe / simvastatin; lomitapide; evolocumab; atorvastatin; simvastatin; rosuvastatin; ezetimibe / simvastatin; lomitapide; evolocumab; atorvastatin; simvastatin; rosuvastatin; ezetimibe / simvastatin; lomitapide; evolocumab
Familial Hypophosphatemia,ergocalciferol
Familial Mediterranean Fever,colchicine; canakinumab
Fascioliasis,triclabendazole
"Fasciolopsis buski, Intestinal Fluke",praziquantel
Fatigue,modafinil; methylphenidate; amphetamine / dextroamphetamine; amantadine; dextroamphetamine; modafinil; methylphenidate; amphetamine / dextroamphetamine; amantadine; dextroamphetamine; modafinil; methylphenidate; amphetamine / dextroamphetamine; amantadine; dextroamphetamine
Nonalcoholic Fatty Liver Disease,ursodiol; pioglitazone; orlistat; betaine; rosiglitazone; ursodiol; pioglitazone; orlistat; betaine; rosiglitazone; ursodiol; pioglitazone; orlistat; betaine; rosiglitazone; ursodiol; pioglitazone; orlistat; betaine; rosiglitazone; ursodiol; pioglitazone; orlistat; betaine; rosiglitazone; ursodiol; pioglitazone; orlistat; betaine; rosiglitazone; ursodiol; pioglitazone; orlistat; betaine; rosiglitazone; ursodiol; pioglitazone; orlistat; betaine; rosiglitazone
Febrile Neutropenia,cefepime; piperacillin / tazobactam; amikacin; caspofungin; ciprofloxacin; amoxicillin / clavulanate; ceftazidime; vancomycin; amphotericin b liposomal; gentamicin; itraconazole; cilastatin / imipenem
Felty's Syndrome,auranofin
Female Infertility,metformin; letrozole; clomiphene; chorionic gonadotropin (hcg); leuprolide; menotropins; urofollitropin
Hypoactive Sexual Desire Disorder,flibanserin; bremelanotide; flibanserin; bremelanotide; flibanserin; bremelanotide
Fever,acetaminophen; ibuprofen; aspirin; naproxen; acetaminophen; ibuprofen; aspirin; naproxen
Fibrinolytic Bleeding,aminocaproic acid
Fibrocystic Breast Disease,danazol
Fibromatosis,celecoxib; colchicine
Fibromyalgia,gabapentin; tramadol; cyclobenzaprine; duloxetine; amitriptyline; trazodone; pregabalin; meloxicam; guaifenesin; armodafinil; nabilone; prednisone; milnacipran; topiramate; escitalopram; metaxalone; naltrexone; venlafaxine; fluoxetine; sodium oxybate
